,number,reward,policy,group
0,1,-0.31368887605441953,P-DAgger,policy
1,1,-0.22912979456860855,P-DAgger,HL
2,1,-0.16876979530930675,P-SAC,policy
3,1,-0.23287644467549093,P-SAC,HL
4,5,-0.32663891844585563,P-DAgger,policy
5,5,-0.24059948020623056,P-DAgger,HL
6,5,-0.2011914771447548,P-SAC,policy
7,5,-0.2547235579076365,P-SAC,HL
8,10,-0.35455568316244584,P-DAgger,policy
9,10,-0.255955101240088,P-DAgger,HL
10,10,-0.23581138252314165,P-SAC,policy
11,10,-0.2868458008932523,P-SAC,HL
12,15,-0.37585271231723777,P-DAgger,policy
13,15,-0.27524959883765965,P-DAgger,HL
14,15,-0.26378631727525687,P-SAC,policy
15,15,-0.3185028277514963,P-SAC,HL
16,19,-0.39540411231125877,P-DAgger,policy
17,19,-0.2777429355952772,P-DAgger,HL
18,19,-0.28097512077687786,P-SAC,policy
19,19,-0.32628343047124625,P-SAC,HL
